Fusion Material 1,Fusion Material 2,Fusion Result
Fallen,Megami,Femme
Fallen,Deity,Kishin
Fallen,Vile,Avian
Fallen,Snake,Megami
Fallen,Dragon,Beast
Fallen,Divine,Tyrant
Fallen,Avian,Megami
Fallen,Fallen,Erthys
Fallen,Avatar,Touki
Fallen,Beast,Femme
Fallen,Wilder,Dragon
Fallen,Genma,Tyrant
Fallen,Fairy,Divine
Fallen,Tyrant,Vile
Fallen,Kishin,Jaki
Fallen,Touki,Beast
Fallen,Jaki,Beast
Fallen,Femme,Dragon
Avatar,Megami,Snake
Avatar,Deity,Jaki
Avatar,Vile,Tyrant
Avatar,Snake,Deity
Avatar,Dragon,Jaki
Avatar,Divine,Megami
Avatar,Avian,Divine
Avatar,Fallen,Touki
Avatar,Avatar,Aquans
Avatar,Beast,Divine
Avatar,Wilder,Jaki
Avatar,Genma,Snake
Avatar,Fairy,Megami
Avatar,Tyrant,Fallen
Avatar,Kishin,Deity
Avatar,Touki,Kishin
Avatar,Jaki,Fairy
Avatar,Femme,Genma
Beast,Megami,Genma
Beast,Deity,Avian
Beast,Vile,Dragon
Beast,Snake,Avatar
Beast,Dragon,Jaki
Beast,Divine,Avatar
Beast,Avian,Genma
Beast,Fallen,Femme
Beast,Avatar,Divine
Beast,Beast,Flaemis
Beast,Wilder,Touki
Beast,Genma,Jaki
Beast,Fairy,Femme
Beast,Tyrant,Dragon
Beast,Kishin,Avian
Beast,Touki,Fairy
Beast,Jaki,Touki
Beast,Femme,Fairy
Wilder,Megami,Fairy
Wilder,Deity,Touki
Wilder,Vile,Fallen
Wilder,Snake,Touki
Wilder,Dragon,Genma
Wilder,Divine,Avatar
Wilder,Avian,Snake
Wilder,Fallen,Dragon
Wilder,Avatar,Jaki
Wilder,Beast,Touki
Wilder,Wilder,Erthys
Wilder,Genma,Vile
Wilder,Fairy,Avian
Wilder,Tyrant,Jaki
Wilder,Kishin,Femme
Wilder,Touki,Snake
Wilder,Jaki,Dragon
Wilder,Femme,Avatar
Genma,Megami,Beast
Genma,Deity,Wilder
Genma,Vile,Kishin
Genma,Snake,Megami
Genma,Dragon,Fallen
Genma,Divine,Dragon
Genma,Avian,Divine
Genma,Fallen,Tyrant
Genma,Avatar,Snake
Genma,Beast,Jaki
Genma,Wilder,Vile
Genma,Genma,Aeros
Genma,Fairy,Beast
Genma,Tyrant,Vile
Genma,Kishin,Snake
Genma,Touki,Avatar
Genma,Jaki,Avian
Genma,Femme,Touki
Fairy,Megami,Wilder
Fairy,Deity,Snake
Fairy,Vile,Touki
Fairy,Snake,Beast
Fairy,Dragon,Fallen
Fairy,Divine,Avatar
Fairy,Avian,Snake
Fairy,Fallen,Divine
Fairy,Avatar,Megami
Fairy,Beast,Femme
Fairy,Wilder,Avian
Fairy,Genma,Beast
Fairy,Fairy,Aeros
Fairy,Tyrant,Wilder
Fairy,Kishin,Vile
Fairy,Touki,Beast
Fairy,Jaki,Genma
Fairy,Femme,Fallen
Tyrant,Megami,Deity
Tyrant,Deity,Vile
Tyrant,Vile,Deity
Tyrant,Snake,Dragon
Tyrant,Dragon,Fallen
Tyrant,Divine,Vile
Tyrant,Avian,Avatar
Tyrant,Fallen,Vile
Tyrant,Avatar,Fallen
Tyrant,Beast,Dragon
Tyrant,Wilder,Jaki
Tyrant,Genma,Vile
Tyrant,Fairy,Wilder
Tyrant,Tyrant,Erthys
Tyrant,Kishin,Fallen
Tyrant,Touki,Snake
Tyrant,Jaki,Femme
Tyrant,Femme,Wilder
Kishin,Megami,Touki
Kishin,Deity,Fairy
Kishin,Vile,Jaki
Kishin,Snake,Divine
Kishin,Dragon,Genma
Kishin,Divine,Femme
Kishin,Avian,Deity
Kishin,Fallen,Jaki
Kishin,Avatar,Deity
Kishin,Beast,Avian
Kishin,Wilder,Femme
Kishin,Genma,Snake
Kishin,Fairy,Vile
Kishin,Tyrant,Fallen
Kishin,Kishin,Aquans
Kishin,Touki,Fairy
Kishin,Jaki,Genma
Kishin,Femme,Genma
Touki,Megami,Avian
Touki,Deity,Kishin
Touki,Vile,Genma
Touki,Snake,Kishin
Touki,Dragon,Wilder
Touki,Divine,Beast
Touki,Avian,Beast
Touki,Fallen,Beast
Touki,Avatar,Kishin
Touki,Beast,Fairy
Touki,Wilder,Snake
Touki,Genma,Avatar
Touki,Fairy,Beast
Touki,Tyrant,Snake
Touki,Kishin,Fairy
Touki,Touki,Flaemis
Touki,Jaki,Wilder
Touki,Femme,Fairy
Jaki,Megami,Femme
Jaki,Deity,Tyrant
Jaki,Vile,Genma
Jaki,Snake,Avatar
Jaki,Dragon,Avian
Jaki,Divine,Kishin
Jaki,Avian,Avatar
Jaki,Fallen,Beast
Jaki,Avatar,Fairy
Jaki,Beast,Touki
Jaki,Wilder,Dragon
Jaki,Genma,Avian
Jaki,Fairy,Genma
Jaki,Tyrant,Femme
Jaki,Kishin,Genma
Jaki,Touki,Wilder
Jaki,Jaki,Erthys
Jaki,Femme,Beast
Femme,Megami,Fallen
Femme,Deity,Dragon
Femme,Vile,Tyrant
Femme,Snake,Fallen
Femme,Dragon,Genma
Femme,Divine,Megami
Femme,Avian,Avatar
Femme,Fallen,Dragon
Femme,Avatar,Genma
Femme,Beast,Fairy
Femme,Wilder,Avatar
Femme,Genma,Touki
Femme,Fairy,Fallen
Femme,Tyrant,Wilder
Femme,Kishin,Genma
Femme,Touki,Fairy
Femme,Jaki,Beast
Femme,Femme,Aquans
Erthys,Aeros,Nigi (Magic)
Erthys,Aquans,Ama (Strength)
Erthys,Flaemis,Kusi (Agility)
Aeros,Erthys,Nigi (Magic)
Aeros,Aquans,Kusi (Agility)
Aeros,Flaemis,Ama (Strength)
Aquans,Erthys,Ama (Strength)
Aquans,Aeros,Kusi (Agility)
Aquans,Flaemis,Saki (Vitality)
Flaemis,Erthys,Kusi (Agility)
Flaemis,Aeros,Ama (Strength)
Flaemis,Aquans,Saki (Vitality)
